,date,review,rating,isEdited,userName,title,developerResponse,review-en
39,2020-09-05 18:29:53,Abicim eba gibi mal mal uygulama üreteceğinize işte pakodemy gibi kaliteli olun Harika başarılarınızın devamını dilerim ❤️😎,5,FALSE,REYNMEN😊,SİZ ADAMIN DİBİSİNİZ,,I wish you the continuation of your great achievements like Pakodemy that you will produce goods such as Abicim Eba.
40,2020-05-06 13:39:14,Şimdiye kadar gördüğüm en iyi uygulama kesinlikle tavsiye ederim,5,FALSE,adnslz,10 üzerinden 10 :),,I definitely recommend the best application I've ever seen
41,2020-08-24 13:10:40,Düzgün bir apple pencil desteği ekleyin. Apple pencil’in bluetooth ile bağlı olup olmadığını kontrol etmekle başlayın ve bağlı ise kalem seçildiğinde elimizle dokunduğumuzda yazı yazmayalım yanlışlıkla. Ve ben solak olduğum için kalemi kullanırken sürekli testten çıkıyorum yanlışlıkla halledersiniz.,1,FALSE,walletadam,Apple pencil 😑😑😑,,"Add a proper Apple Pencil Support. Start by checking if Apple Pencil is connected to Bluetooth, and if it is connected, we don't write it when we touch it with our hands when the pen is selected. And because I am left -handed, I always get out of the test while using the pen."
42,2020-08-12 21:24:40,Dilciler ölsün mü dersler kısmında yok??!,1,FALSE,Busee ✌️,DİLCİLER?,,Let the linguists die in the lessons section ??!
43,2020-05-07 0:18:19,"Reklam izlemekten test çözemiyoruz beş saniyede bir reklam geliyor, insanları premium alsın diye sinir krizi geçirtiyorsunuz, her sorunun videolu anlatımı yok, bazı sorular okunmuyor çok bulanık.",2,FALSE,pübunasilis,Çok reklam abicim,,"We can't solve the test from watching ads every five seconds, you get a nervous breakdown to get people premium, each problem has no video narration, some questions are not read very blurry."
44,2022-12-14 14:01:17,Uygulamadan çok memnunum fakat mobilde ekran yataydayken kullanabilmek istiyorum,5,FALSE,şişkö kedi,Yatay Ekran Özelliği,"{'id': 34142455, 'body': 'Merhaba, yeni fikirler duymak bizi her zaman çok heyecanlandırıyor. Senin için hazırladığımız uygulamada keyifli zaman geçirmene memnun olduk, zaman ayırıp bizimle bunu paylaştığın için teşekkürler. Geliştirmemizi istediğin başka bir konu varsa duymak isteriz, info@pakodemy.com mail adresinden iletebilirsin. İyi dersler :)', 'modified': '2023-01-07T09:10:56Z'}","I am very pleased with the application, but I want to be able to use the screen on mobile when you are at horizontal."
45,2020-05-03 18:22:38,Arkdaşlar eger bol bol reklam islemek istiyorsanız buyrun kullanın uygulama çok güzel ama her test çözmek isteğinizde 10 soru için 30 sn reklam izlemek zorundasınız haberiniz olsun,1,FALSE,Lihuu44,Çok güzel reklamlar harika,,"Friends if you want to work plenty of advertising, use it is very nice, but every time you want to solve the test, you have to watch 30 second advertisements for 10 questions."
46,2023-01-12 13:28:32,Bence herkes yorumda bu sorunu belirtmiş sizlerde bu sorunu dikkate alarak soru kısıtlamasını kaldırabilirsiniz uygulama güzel fakat yeterli değil kısıtlamalı soru çözüyoruz yardımcı olabilir misiniz?,3,FALSE,neslihan b,Sorunlu,"{'id': 34327396, 'body': 'Merhaba , uygulamamızı senin için geliştirirken düşüncelerine her zaman çok önem veriyoruz. Yorumlarını zaman ayırıp paylaştığın için teşekkür ederim. İletmek istediğin başka bir konu olursa info@pakodemy.com mail adresimizden 08508852314 WhatsApp Kullanıcı Destek Hattımızdan bize ulaşabilirsin. Başarılar diliyorum :)\n', 'modified': '2023-01-17T07:43:44Z'}","I think everyone has stated this problem in the comment you can remove the question restriction by taking into account this problem, the application is nice but not enough restricted questions can help you help?"
47,2022-12-09 8:15:27,Lgs öğrencisi olarak bayıldım,5,FALSE,🤩😆😑,Gerçekten harika bir uygulama,"{'id': 34142465, 'body': 'Merhaba, bunu duyduğuma çok sevindim, zaman ayırıp pozitif düşüncelerini bizimle paylaştığın için teşekkürler. Başarılar diliyorum :)', 'modified': '2023-01-07T09:12:24Z'}",I love it as a lgs student
48,2022-12-04 13:32:09,Güncelleme yaptığımdan beri uygulama açılmıyor. Bir an önce bu sorunu çözerseniz sevinirim.,5,FALSE,berinn...,Uygulama açılmıyor,"{'id': 34142903, 'body': 'Merhaba , böyle bir deneyim yaşadığın için çok üzgünüm. Yardımcı olabilmem için info@pakodemy.com mail adresimizden ulaşabilirsin. \n', 'modified': '2023-01-07T10:14:49Z'}",The application has not been opened since I made an update. I would be glad if you solve this problem as soon as possible.
49,2022-11-09 19:18:48,Gerçekten bu kadar donanımlı bu kadar iyi işleyen bu kadar nitelikli bir ders uygulaması görmedim bu kadar iyi bilgi veren bir uygulama görmedim sizleri tebrik ediyorum ne olursa olsun sonuna kadar iyi yorumları hakediyorsunuz,5,FALSE,Behzat.Ç Alemdar,Mükemmel,"{'id': 34142580, 'body': 'Merhaba, pozitif yorumlarını zaman ayırıp bizimle paylaştığın için teşekkür ederim. Senin için hazırladığımız uygulamamızdan memnun kalmana çok sevindim. Düşüncelerine önem veriyoruz, paylaşmak istediğin başka bir konu olursa info@pakodemy.com mail adresimizden bize ulaşabilirsin. Başarılar diliyorum :)', 'modified': '2023-01-07T09:29:57Z'}",I haven't seen such a qualified course application that works so well equipped so well.
50,2022-11-30 8:32:01,Uygulamanın ana ekranına girer girmez kapanıyor. (Ipad air a1474),1,FALSE,Hiiiiirk,crash,"{'id': 34142848, 'body': 'Merhaba , böyle bir deneyim yaşadığın için çok üzgünüm. Yardımcı olabilmem için info@pakodemy.com mail adresimizden ulaşabilirsin. ', 'modified': '2023-01-07T10:09:36Z'}","As soon as you enter the main screen of the application, it closes. (IPAD Air A1474)"
51,2022-09-21 2:33:24,mukemmel,5,FALSE,benreyhan,harika,"{'id': 34142970, 'body': 'Merhaba Reyhan, bunu duymayı seviyoruz :) Pozitif yorumlarını zaman ayırıp bizimle paylaştığın için teşekkür ederim. Senin için hazırladığımız uygulamadan memnun kalmana çok sevindim. İyi dersler, başarılar diliyorum :)', 'modified': '2023-01-07T10:22:23Z'}",Perfect
52,2022-09-06 19:00:45,Dersane denemesinden önce bu testlerden çözdüm iyi soruları var tavsiye ederim.,5,FALSE,fjfjfjgbjb,Dersane denemesi,,"Before you try Dersane, I have solved these tests I have good questions I recommend."
53,2022-09-04 7:42:45,Çok harika bir uygulama heryerde istediğin kadar soruyu yanında taşıyormuşsun gibi sınava hazırlanan öğrenciler için müthiş.,5,FALSE,~marvina~,Çok nice,,It is a great application for the students who are preparing for the exam as you are carrying as many questions as you want everywhere.
54,2022-07-20 9:12:00,Normalde ders çalışmayı sevmem ama insanın çözdükçe çözesi geliyor!,5,FALSE,gelecek kaygısı olan biri,Mükemmelsiniz,"{'id': 34143033, 'body': 'Merhaba , pozitif düşüncelerini zaman ayırıp bizimle paylaştığın teşekkür ederim. Senin için hazırladığımız uygulamamızdan memnun kalmana çok sevindim. İletmek istediğin başka bir konu olursa info@pakodemy.com mail adresimizden ulaşabilirsin. İyi dersler :)', 'modified': '2023-01-07T10:31:32Z'}","Normally I don't like studying, but the solution comes as you solve!"
55,2022-07-06 7:40:48,"cok basarılı bir uygulama testler ve program,calısma önerileri hicbir sey yapmayan benim icin ufakta olsa bir seyler yapmama vesile oldu 🥲🥲",5,FALSE,beren🥲,cok başarılı bir uygulama,"{'id': 34143049, 'body': 'Merhaba Beren, pozitif düşüncelerini zaman ayırıp bizimle paylaştığın teşekkür ederim. Senin için hazırladığımız uygulamamızdan memnun kalmana çok sevindim. İletmek istediğin başka bir konu olursa info@pakodemy.com mail adresimizden ulaşabilirsin. İyi dersler :)', 'modified': '2023-01-07T10:33:57Z'}","A very successful application tests and program, working suggestions did not do anything for me, even though it was instrumental in doing something 🥲🥲"
56,2022-04-23 8:55:44,Çok güzel bir uygulama. Testte çözemediğimiz soruları video çözümleriyle izlemek çok iyi bir özellik vs. bayıldım,5,FALSE,merhqb,👍👍,"{'id': 34143071, 'body': 'Merhaba , pozitif düşüncelerini zaman ayırıp bizimle paylaştığın teşekkür ederim. Senin için hazırladığımız uygulamamızdan memnun kalmana çok sevindim. İletmek istediğin başka bir konu olursa info@pakodemy.com mail adresimizden ulaşabilirsin. İyi dersler :)', 'modified': '2023-01-07T10:37:04Z'}","Very nice application. It is a very good feature, etc. to watch the questions we cannot solve in the test with video solutions. I love it"
57,2022-02-07 21:48:38,uygulama çok iyi aktif bir şekilde kullanıyorum bir kaç aydır ilk indirdiğim zaman her şey çok iyiydi sonrasında tıkladığım her yerden reklam çıkmaya başladı biraz absürt olmuş test kredilerini de biraz arttırsalar fena olmaz aslında ama çok yararlı,3,FALSE,erwn adıgüzel,reklamlar,,"I use it very well actively, when I first downloaded it for a few months, everything was very good, then the advertisement started to come out from anywhere I was a little absurd, it would not be bad if they increased the test loans a little, but it is very useful"
58,2022-02-25 6:41:53,Dolandırıcılıktan başka bir şey değil premium üye oldum fakat 1-2 test çözdükten sonra tekrar parayla satın alıp prenium üye olmamı istiyor,1,FALSE,deligz7,Çok kötü,"{'id': 34142889, 'body': 'Merhaba , böyle bir deneyim yaşadığın için çok üzgünüm. Yardımcı olabilmem için info@pakodemy.com mail adresimizden ulaşabilirsin. \n', 'modified': '2023-01-07T10:12:57Z'}","I became a premium member, but after 1-2 tests, he wants me to buy and be a member"
59,2022-02-15 9:36:24,Uygulama güzel ama kredi toplamak için çok vakit kaybı oluyor test çözdükten sonra 12 dk bekliyorum,2,FALSE,hdjdhdkdjd,Pakodemy,,"The application is nice but there is a lot of time to collect credit, I am waiting for 12 minutes after solving the test"
60,2022-01-12 22:18:43,"Gündüz ve Gece Modunu Ayarlara Koymanız Kötü Olmuş, Eski Yeri Daha İyiydi",5,FALSE,sefasefasefasf,Gece ve Gündüz Modunun Yeri Eskisi Gibi Olsun,,"It was bad to put the day and night mode in the settings, the old place was better"
61,2021-12-28 18:56:06,Harika bir uygulama umarım ileride ücretli hale gelmez,5,FALSE,nenelimon,Mükemmel,,Great application I hope it will not become paid in the future
62,2022-01-02 18:53:49,lütfen iyileştirme yapın,3,FALSE,mariewetrust,Uygulama Çok Yavaş,,Please improve
63,2021-12-22 18:59:59,bu yazılımı oluşturan şirkete teşekkürlerimi sunuyorum bir çok şeyin ücretsiz olması harika :),5,FALSE,ripeNN,Felaket birşey,,"I would like to thank the company that created this software, it is great that a lot of things are free :)"
64,2021-12-20 13:54:21,Normalde hiç yorum yapmam uygulamalara ama pakodemy gerçekten hak ediyor.Her yayından her tür soru çözümleri sizin diğer insanlara göre durumunuz her şey en ince ayrıntısına kadar düşünülmüş.Önceliği para kazanmak olan uygulamalardan değil öncelikleri faydalı olmak bunu gerçekten hissettiriyor ve çok çok faydalı meb kazanım testlerine kadar düşünülmüş 🙏🏻 İyi ki varsın pakodemyyy 💖💖💖💖💖💖,5,FALSE,dilllooşşş,KESİNLİKLE İNDİRİN,,"Normally I do not comment on the applications, but Pakodemy really deserves. Every kind of question solutions from the publication is thought to the finest detail compared to other people. thought 🙏🏻 Good thing you have pakodemyyy 💖💖💖💖💖💖"
65,2021-10-19 5:09:36,Efsane uygulama hep orta seviye ya da zor seviyenin soruları oluyor ve bunu da yeni  tarz soru görmemi  sağlıyor teşekkürler,5,FALSE,alone flowers,İyi ki varsınız,,The legendary application always has questions of the middle level or difficult level and makes me see a new style.
66,2021-11-12 14:05:04,Test çözebilmeniz için yeterli krediniz bulunmamaktadır ne demek?,4,FALSE,kgjgksy,Soru çözemiyorum,,You don't have enough loans to solve the test. What does it mean?
67,2021-10-30 17:27:05,Tarihçiden hiçbir şey anlayamıyorum olaylar arasında bağlantı kurulması gerek söylenip geçiyor !👎🏻,4,FALSE,unknownnnuserr,Tarihçinin anlatımı çok kötü,,"I cannot understand anything from the historian, it needs to be established between events! 👎🏻"
68,2021-10-03 4:53:26,Uygulama efsane adamlar herşeyi düşünmüş ve para felanda istemiyorlar helal olsun paralı parasız en iyi uygulama,5,FALSE,jackmim,Fennaaa,,Application legendary guys thought everything and do not want money feranda halal get the best application without money
69,2021-09-27 10:46:20,Uygulama çok yararlı ama giremiyorum 2 gündür girdiğim gibi atıyor lütfen yardımcı olun,5,FALSE,sevvalenesardakaya,Uygulama atıyor beni,,"The application is very useful, but I can't enter it, it is throwing it as I entered for 2 days, please help me"
70,2021-09-28 7:27:22,Bir türlü uygulamaya giremiyorum,1,FALSE,melekrecep,Uygulama sürekli beni atıyor,,I can't get into practice somehow
