,date,review,rating,isEdited,title,userName,developerResponse,review-en
10,2017-06-05 18:30:11,"kredi kartımdan ödeme yapmama rağmen soru hakkım gelmedi, kendilerine yazdım cevap dahi verme tenezzülünde bulunmadılar. kredi kartı işlemlerimi kontrol ettiğimde 2 kere para çekilmiş ve 80 tl param yandı. üstüne soru hakkım gelmedi, ilgilenmediler bile.. insanlara bunu yapmaya hakkınız yok",1,FALSE,Sakın satın almayın,-elizagraves-,"{'id': 1646100, 'body': 'Merhaba, destek servisimiz 7 gün 09:00 - 23:00 saatleri arasında hizmet vermektedir. Mesajınıza mutlaka cevap verilmiştir. Eğer hala sorularınız mevcutsa bize destek@kunduzapp.com’dan ulaşabilirsiniz. Seve seve yardımcı oluruz.', 'modified': '2017-11-02T07:21:30Z'}","Although I made payment from my credit card, I did not have the right to question, I wrote to them even giving answers did not deign. When I checked my credit card transactions, money was withdrawn twice and my 80 TL money burned. I didn't even have the right to question, they didn't even take care of it .. You have no right to do this to people"
11,2017-10-09 12:58:02,Etut merkezlerine aylik bin lira vermekten cok daha karli bir uygulama. Butun sorulariniz hizli bir sekilde cozuluyor enerji ve zamandan baya kazanc sagladi bana ^_^,5,FALSE,Harika bir uygulama,ozdens75,,It is a much more profitable application than giving a monthly thousand pounds to ETUT centers. All your questions are solved quickly and provided me with energy and time.
12,2017-07-19 17:42:42,Eğitmenler sayesinde netlerimde ve soru çözüm hızımda gözle görülür bi gelişme kat ettim. Çok teşekkürler Kunduz.,5,FALSE,Muhteşem bi aplikasyon,alpars.Yurtseven,,"Thanks to the trainers, I have covered a visible development in my net and question solution speed. Thank you very much, Kunduz."
13,2017-10-31 18:16:07,"Arkadaşımdan duyarak indirmiştim. İyi ki de indirmişim diyorum. Hem sorularıma hemen çözüm alabiliyorum hem de aklıma takılan konularda rehberlik de veriyorlar. Çözümlerde anlamadığım yerler olunca dönüş sağlıyorlar muhakkak. Bazan yanlış çözdükleri de oluyor hatta sinirim bozuluyor bu yüzden ama fark ettiklerinde kendilerini affettirmek için bi görseniz sorunun her yerini açıklıyorlar. Bi de çoook tatlı postlar paylaşıyorlar, ya resmen çalışmaya motive etmek için yapılmış bi uygulama <3",5,FALSE,Tahmin ettiğimden çok daha kullanışlı,FuDo00007,,"I downloaded it from my friend. Good thing I say I downloaded it. I can take a solution to my questions immediately and they also guide my mind. When there are places I don't understand in the solutions, they provide a return. Sometimes they have solved it wrong, even my nerves are broken, but when you see that when they notice, they explain every part of the problem if you see them to forgive themselves. They also share very sweet posts, or an application made to motivate officially to work <3"
14,2017-11-23 17:19:22,Paralı diye eleştirmenizi anlamıyorum gayet iyi bir uygulama,5,FALSE,Süper,Berrags,,"I don't understand your criticism as a mercenary, it's a good application"
15,2017-04-04 1:26:28,Başarılı bir uygulama ancak üyelik yenilemede her ay sıkıntı yaşıyorum. Destek bölümünden hemen ikgileniyorlar ancak her ay aynı sıkıntıyı yaşamaktan sıkıldım.,3,FALSE,Bazı hatalar var ama çok kullanışlı,Ertgrlcls,,"Successful application, but I have trouble every month in membership renewal. They are immediately intended from the support section, but I am bored of experiencing the same problem every month."
16,2017-08-10 12:15:24,Attığım soruya bir dakika içinde cevap geldi harika bir uygulama teşekkürler🙌🏻💕,5,FALSE,Harika,soldattack,,"Answer came to the question I threw in a minute, a great application thanks🙌🏻💕"
17,2019-10-17 15:57:44,Bu harika bir uygulama teşke daha fazla soru çözebilme hakkı olsa,5,FALSE,Harika bir şey lütfen yapımcılar okuyun,Elfidaa,"{'id': 11610041, 'body': 'Merhaba, geri bildirimde bulunduğun için teşekkür ederiz😇Kunduz ailesinin bir parçası olarak seni aramızda görmekten çok mutluyuz. Sınav hazırlık sürecinde de her zaman yanında olmak isteriz. Aklına takılan tüm sorular için uygulamamızda doğru yanıtlara detaylı açıklamalarıyla ulaşacaksın🎈Sitemiz üzerindeki paketleri inceleme şansın oldu mu acaba? Sitemizden sana uygun paketi seçerek Kunduz deneyimine hız kesmeden devam edebilirsin✨', 'modified': '2019-11-02T10:53:12Z'}","This is a great application, thanks to the right to solve more questions"
18,2017-11-26 10:56:47,Ben dershaneye gitmiyorum ve bu uygulama derslerimde özellikle sınav haftasında çok yardımcı oluyor kesinlikle tavsiye ederim :),5,FALSE,Gerçekten Çok Güzel Bir Uygulama,asffgdhs,,"I am not going to the classroom and this application is very helpful in my classes, especially during the exam week I definitely recommend it :)"
19,2017-07-21 15:55:03,Uygulama gayet başarılı sizi okulsuz dershanesiz baya götürür. Mezun biri için nimet. Benim için tek sıkıntılı yanı uygulama sürekli kastı. Bu yüzden uygulamaya mail atarak düzelttirmek zorunda kaldım. Pahalı olması haricinde ve kasması haricinde sizi hedefinize götürür. :),4,FALSE,Hedefinize götürür,Şeyma yaman,,The application takes you very successful without a school without a school. Blessing for a graduate. The only troubled side for me is the application constantly. So I had to correct it by e -mail. It takes you to your target except that it is expensive and except for its muscle. :)
20,2017-11-22 13:02:23,Memnun olan bir mezunun tavsiyesiyle indirdiğim uygulama. Kesinlikle zamandan tasarruf etmek isteyen ve hedefi yüksek olan çözemediği sorular çözülmeden rahat etmeyen insanlar için kurulmuş bir uygulama. Çok yoğunluk yoksa 20 dakika içinde sorular çözülüp atılıyor. Özel dersten daha faydalı olduğunu düşünüyorum.,5,FALSE,Kesinlikle mükemmel bir uygulama,Öxödmd,,"The application I downloaded with the advice of a graduate. It is an application established for people who want to save time and who cannot solve the high target. If there is not much intensity, the questions are solved and thrown within 20 minutes. I think it is more useful than a private course."
21,2017-11-20 12:27:57,Üniversite sınavına hazırlanan adaylar için harika bir uygulama. Gerçekten çok faydasını görüyorum. Diğer yorumlarda yazıldığı gibi yanlış ve yavaş çözüm durumu yok. Herkese tavsiye ederim,5,FALSE,Mükemmel,Ataknylmaz,,"A great application for candidates preparing for the university exam. I really see a lot of benefits. As written in other comments, there is no wrong and slow solution. I would recommend it to everyone"
22,2019-10-23 18:52:06,Hayatımda ilk defa böyle bir uygulama görüyorum. Sorularımı yanıtlayan herkeze teşekkür ederim 🙏👍👍,5,FALSE,👍👍👍👍,H.B.Y 1907,,"For the first time in my life, I see such an application. Thank you to everyone who answered my questions 🙏👍👍"
23,2020-02-05 21:30:51,Uygulamayı tek bir telefondan giriş özelliği geldi bunu en az 2 ye çıkarmalısınız. her şey para değil eğitmenler bunu anlamlı fiyat artışı yapın ÖĞRENCİ ler kurdu bu uygulamayı şimdi ise kapitalist düzen gibi çalışıyor alternatifiniz çıkınca görüşülecekler (beğen üstte çıksın ),1,FALSE,Tek giriş,Synsinan,,"The application has come from a single phone, you must increase it to at least 2. Everything is not money, the instructors have increased this meaningful price, students have established this application as a capitalist order now will be discussed when your alternative will be discussed (like the top)"
24,2019-10-13 9:49:30,"Genel olarak cok memnunum. Cozumler hemen geliyor. Ama ogretmenlerle daha rahat konusabilsek iyi olur. Su an biraz zor, mesaji kacirinca bi daha bulamiyorum. Sorularimi yildizlamak istiyorum. Bir de konulara gore filtre istiyorum. Konu ismine basinca soru bankasindaki sorular gelsin, basinca bisey olmuyor. Konu anlatimi da olsa keske",5,FALSE,Muhtesem,Momo 😍😸,,"I am very pleased in general. The solutions come immediately. But it would be better if we can talk to teachers more easily. Water is a little hard, I can't find it again when you miss the message. I want to starred my questions. I also want a filter according to the subjects. When the topic presses the name, the questions at the question bank come, it is not something when you press. Even though it is a narrative, Kapke"
25,2019-09-04 12:48:01,Çok güzel gerçekten hoca peşinde koşmaya gerek kalmıyor burada istediğin zaman istediğin dersin Hocası senin sorunu çözebiliyor😊 Keşke daha önce alsaymışım sınav senemdeyim çok yardımcı olacağını düşünüyorum ve tavsiye ediyorum 👏🏻,5,FALSE,Çok iyi,ultraslan_cimbom,,"Very nice really does not need to run after the teacher here when you want the lesson you want to solve your problem - I wish I had to take the exam before, I think it will help and I recommend 👏🏻"
26,2017-07-21 15:16:07,Mükemmelin kelime anlamı. Allah razı olsun.,5,FALSE,App,tıp yolunda,,Perfect word meaning. God bless you.
27,2019-11-04 21:32:06,Ellerinize sağlık mükemmel,5,FALSE,Ya süper,sakallı noel baba,,Health in your hands is perfect
28,2019-11-02 14:39:37,Abi efsane seneye sınavım var onun için çok fazla yardımcı,5,FALSE,Süper,derslerine çalışan çocuk,,"Brother legend, I have a exam next year, too much help"
29,2017-07-18 19:29:59,"saat kac olursa olsun her soruma cevap veriyorlar, fizik sorularimi cozebilen tek uygulama bu diyebilirim. Ama cozdurdugumuz sorulari dosyalayabilirsek cok daha guzel olacak:)",5,FALSE,BAŞARILI,İlayda Gönenç,,"No matter how many hours they answer every question, this is the only application that can solve my physics questions. But it will be much better if we can file the questions we solved :)"
30,2017-11-12 11:09:12,Ben çok memnunum bazıları ücretli olmasından yakınmış ta insanlr  o kadar emek vermiş bir karşılığı olacak elbet sorularıma çok hızlı geri dönüş yapılıyor hele genelde attığım anda eğitmen geliyor,5,FALSE,Süper,NCLESTYLA,,"I am very pleased that some of them complain that they are paid to the people who have been so laborious, of course, my questions are very quickly returned, especially when I throw the instructor comes"
31,2017-04-03 7:54:57,Güzel bir uygulama. İhtiyaca cevap veriyor. İyi düşünülmüş,4,FALSE,Başarılı,Nebaho,,A nice application. Responds to the need. Well -thoughtful
32,2019-08-01 13:55:10,özel dersten çok daha yararlı oluyor.Kısa sürede bir çok sorunuz ayrıntılı bir şekilde cevaplanıyor.Sadece 11pm-8am arasında cevapları daha uzun süre bekleyebiliyorsunuz.Kötü yorumları anlamıyorum,4,FALSE,yararlı ve kullanışlı,cemre cft,,"It is much more useful in private course. In short, many questions are answered in detail. You can only wait for the answers between 11 pm-8am."
33,2017-11-07 13:54:58,Çözemediğiniz soru olduğunda uzun süre uğraşıp vakit kaybetmek yerine kunduz sayesinde çözüme anında ulaşma fırsatı !! Son derece faydalı bir uygulama ve herkese tavsiye ediyorum.,5,FALSE,Kaliteli ve hızlı çözüm,Kunduzsever,,"When you have a question that you cannot solve, instead of losing time for a long time, the opportunity to reach the solution instantly thanks to arson !! It is an extremely useful application and I would recommend it to everyone."
34,2017-11-07 8:56:18,Çok kullanışlı bir uygulama olmuş elinize sağlık. Her soruya anında açıklayıcı ve öğretici bir şekilde cevaplıyor.,5,FALSE,Teşekkürler,Sosical,,It has been a very useful application. He instantly answers each question in a descriptive and instructive way.
35,2017-09-02 15:19:32,Ben söylenilen sorunların hiçbirini yaşamadım. Sorularıma gayet hızlı ve doğru yanıt veriliyor. Ayrıca özellikle sözel sorularda uzun uzun anlaşılır açıklama yapılıyor. Tavsiye ederim.,5,FALSE,Başarılı bir uygulama,husnaksoku,,"I did not experience any of the problems said. My questions are very fast and correctly answered. In addition, especially in verbal questions, a long explanation is made. I advise."
36,2017-08-31 13:48:03,İstediğim zamanda her sorum çözülebiliyor çok yararlı bir uygulama,5,FALSE,HARİKA,Berkaydl,,Every question can be solved at any time. It is a very useful application.
37,2017-05-19 7:34:55,"Adamlara soru gönderiyorsunuz , üşenmeden çözüyorlar. Helal olsun.🇹🇷🇹🇷🇹🇷",5,FALSE,Takdir-e Şayan,Samara'nın Saçı,,"You send questions to the men, they solve it without getting tired. Get halal.🇹🇷🇹🇷🇹🇷"
38,2017-04-18 6:03:11,Mükemmel uygulama,5,FALSE,Testler kolay çözülüyor ve anlıyorum,Betcelii,,Perfect application
39,2017-08-31 13:53:34,Ben ygs ye hazırlanan bi öğrenciyim. 2 aylık üye oldum ve çok beğendim. Her sorum ayrıntılı olarak cevaplandı. Anlamadığım yerleri tekrar anlattılar. Her zaman büyük bir ilgiyle cevap verdiler. Destek bölümü olsun soru çözenler olsun hepsi gayet ilgili insanlar. Satın almadada bir sorun yaşamadım. Ben herkese tavsiye ediyorum 😊,5,FALSE,Bence mükemmel,kskdlsşaçzöö,,"I am a student preparing for YGS. I became a 2 -month -old member and liked it very much. Every question was answered in detail. They explained the places I don't understand again. They always answered with great interest. Whether it is a support department, the question is all interested people. I didn't have a problem with the purchase. I recommend it to everyone 😊"
40,2017-04-23 9:56:01,Hızlıca çözüm geliyor zaman kaybetmiyorum artık,5,FALSE,Çok iyi,Gzmkynk,,"The solution is coming quickly, I'm not wasting time anymore"
41,2019-10-13 9:39:58,Ben 6.sınıfım yeni kullanmaya başladım. Çok güzel. Her soruma cevap verdi. Öğretmenleri çok sevdim okuldakiler gibi değildi. Annemler üyelik aldı ben de daha çok çalışıcam artık. Kunduz ders anlatsa okula gitmem,5,FALSE,Cok Memnunum,Siyah Üzümcü,,I started using my 6th grade. Very good. He answered every question. I liked the teachers very much. My parents received membership and I will work harder now. I wouldn't go to school
42,2017-04-05 20:15:34,"Kesinlikle indirmeyin ilk 3 soruya anında cevap verilirken üyeliği başlattığınızda soruları 30 dk, 1 saat geciktiriyorlar verdiğiniz paraya yazık ben fizik için konuşuyorum .
Almayın!!!",1,FALSE,İsraf,Chorlykol,"{'id': 1650512, 'body': 'Merhaba, sorulara ortalama 15 dakika içerisinde cevap veriyoruz. Yeniden deneme fırsatı bulursanız çözümlerimizin hızından etkileneceğinize emin olabilirsiniz.', 'modified': '2017-11-02T16:43:51Z'}","Definitely do not download the first 3 questions when you start the membership when you start the membership 30 minutes, 1 hour delay the money you give the money I speak for physics.
Do not buy!!!"
43,2020-01-07 19:35:32,Amacı eğitim değil bana hakaret etmek insanlık onuruma dokunan şeyler okudum ilk defa kimse bir şey yapmadı sorulara yanlış cevap verildi yanlış olduğunu belirttim sen ne bilirsin gibi hakaretler okudum ayrıca yükleyince sadece 3 soru sorabiliyorsun sonra ücretli tek kelime ile iğrenç yüklemeyin 🤢😡😤,1,FALSE,Hakaret,BTS A.R.M.Y K-Pop,"{'id': 12818395, 'body': 'Merhaba,bunu duyduğumuza çok üzüldük😔Yaşadığın aksaklık için özür dileriz. Durumla ilgili hemen seninle iletişime geçerek konuyla yakından ilgilenmek çok isteriz. Kunduz ekibi olarak en önem verdiğimiz konu sizlerin memnuniyeti. geribildirim@kunduzapp.com mail adresinden kullanıcı bilgilerin ile birlikte bizimle iletişime geçmeni rica edeceğiz🙏', 'modified': '2020-01-09T12:53:55Z'}",The purpose is not education to insult me ​​to insult me ​​to my honor of humanity I read the first time no one did anything did something wrong answer was given the wrong answer I stated that you know what you know I also read insults as you also uploaded only 3 questions you can only ask after a paid one word disgusting 🤢😡😤
44,2020-04-28 12:16:20,Sorduğum iki sorudan biri yanlış çözülüyor. Özellikle de cevap anahtarını söylemediğim soruların. Cevap anahtarındaki sonuca bakıp ona göre çözüm yapılacaksa beni de öğretmen olarak alabilirsiniz. Para kazanmış olurum. Yanlış cevap olarak bildiriyorum ancak 24 saat sonra geri dönüş yapınca bu uygulamanın ne anlamı kalıyor? Ayrıca çoğu eğitmen de yanlış yaptığını kabul etmiyor. O kadar sinirlendim ki anlatamam param boşa gitti. Hiçbir işime yaramıyor. Dönemlik paket almıştım. Mecbur kanser olmaya devam edeceğim. Sizin de amacınız buydu değil mi zaten? Güzel kazıklandım sağ olun.  Denemelik sorulan 3 soruma açıklayıcı ve güzel cevaplar geldi ama paket alınca soruyu bile okumadan çözüm atmaya başladılar. Lütfen yorumumu beğenerek yukarı çıkarın şunlara para kazandırmayın.,1,FALSE,Öğretmenler aşırı kalitesiz,tsyds,"{'id': 15017956, 'body': 'Değerli öğrencimiz, uygulamamızda en çok önem verdiğimiz konu kaliteli çözümleri sizlere ulaştırmaktır. Bu konuda sıkıntı yaşıyor olman bizleri çok üzdü.😞 Sana daha yakından yardımcı olmayı çok isteriz, bizimle geribildirim@kunduzapp.com adresi üzerinden iletişime geçebilir misin? Şimdiden teşekkürler.🌺', 'modified': '2020-04-30T16:11:21Z'}","One of the two questions I asked is solved incorrectly. Especially questions I don't say the answer key. If you look at the results of the answer key and get a solution accordingly, you can get me as a teacher. I'll make money. I declare it as the wrong answer, but when it makes a return after 24 hours, what's the point of this application? In addition, most instructors do not accept that they do wrong. I got so angry that my money went wasted. It doesn't work for me. I bought a period package. I will continue to have a cancer. That was your purpose, right? Thank you well. 3 questions asked for the essay, explanatory and good answers came, but when the package even started to solve the question without even reading the question. Please like my comment, do not make money for these."
45,2019-10-09 21:46:31,"Keşke daha önceden alsaymışım kunduzu, tek pişmanlığım bu, kötü yorumlara aldırış etmeyin arkadaşlar. Bunca yıl özel derslere verdiğim paraları düşününce içim bi cız etti doğrusu, burda hiç beklemeden hemen çözüm alabildim. Uygulama hakkındaki soruları destek ekibine sorduğumda her biri gerçekten çok yardımcı oldu. Kunduz ekibine çok çok teşekkürler :)",5,FALSE,Başarılı bir soru çözüm uygulaması,Hedefboğaziçi,,"I wish I had already taken the swaddle, my only regret this, don't care about bad comments, friends. When I think about the money I gave to private lessons all these years, I was able to get a solution without waiting here. When I asked the support team the questions about the application, each of them really helped. Thank you very much to the Kunduz team :)"
46,2017-10-03 6:14:01,"Kötüleyenlere aldırmayın, art niyetli olduklarını düşünüyorum",5,FALSE,.,Zayıfsız Çocuk,,"Don't mind those who disparage, I think they are malicious"
47,2019-04-11 20:30:06,Uygulama çok güzel uzun zamandır kullanıyorum fakat yalvarırım cevaplanıpta açılan ve açılmayan soruları farklı renkte yapın çok karışıyor,4,FALSE,Renk farkı olsun,Üstad67,,"The application is very nice for a long time, but I beg and begged, and do not open questions in different colors."
48,2017-07-19 17:44:32,"Kunduz, benzerlerinden farklı olarak kaliteli çözümü çok kısa bi sürede hazırlayabiliyor. Tam ihtiyacım olan bi uygulama",5,FALSE,Mükemmelötesi,İsaVeysel,,"Unlike its similar, Kunduz can prepare quality solution in a very short time. I just need an application"
49,2017-06-30 16:29:06,Gayet güzel mat seviyemi ilerlettim,5,FALSE,Beğeni,tıphedefli,,I advanced my very good matte level
50,2017-11-02 6:52:14,Her sene okul başlayınca 90 tl lik üyelik alıyorum,5,FALSE,ÇOK MEMNUNUM,dgkndemli,,"When the school starts every year, I get 90 TL membership"
51,2017-10-09 14:11:38,Umduğumdan fazlasını bulduğum gerçekten yararlı bir uygulama 👏🏻👏🏻,5,FALSE,👍🏻,Zızızıp,,A really useful application that I found more than I hoped 👏🏻👏🏻
52,2022-01-17 4:41:22,"2 3 aydır kullanıyorum, kullanışlı bir uygulama ama çok fazla deneyimsiz öğretmen var. Daha fazla soru çözüp daha fazla para kazanmak için soruları yanlış, gelişigüzel cevaplıyorlar. Aynı soruyu tekrar tekrar sormak zorunda kalıyorum maalesef.. Ki yanlış çözüm yapıldığını fark etmesem direkt yanlış bilgi verecekler, farkında bile olmayacağım. Bu konuda kesinlikle bir şey yapılması gerektiğini düşünüyorum",2,FALSE,hocalar doğru çözüm yapmıyor,then.ck,,"I have been using it for 2 3 months, it is a handy application but there are too many inexperienced teachers. They answer questions wrong, randomly to solve more questions and make more money. Unfortunately, I have to ask the same question over and over again. I think something should definitely be done about this"
53,2020-09-29 15:56:32,2. Kez sorduğumuzda neden gerizekalıymışız gibi davranılıyor hayır ben zaten öyleyim de başkalarına yapmayınnnn,1,FALSE,Ayeyeyyy,iğrençççççççççççç,"{'id': 18248433, 'body': 'Merhaba, bunu duyduğumuza çok üzüldük.😞 Sana daha yakından yardımcı olabilmemiz için bizimle geribildirim@kunduz.com adresi üzerinden ulaşabilir misin?🌺', 'modified': '2020-10-03T13:18:42Z'}","When we ask for the second time, why is it treated as a retarded, no, I am already, do not do it to others"
